video_id,schema,prompt_version,lab_json_exists,lab_json_matches,v10_cache_exists,graphml_exists,graphml_size_bytes,graphml_parses,graphml_nodes,graphml_edges,unknown_services_count,unknown_services_list,verdict
Cw26CrJUqv8,A,,0,0,0,0,0,0,0,0,0,,v9_probable
cZuoiXQ0xUk,A,,0,0,0,1,4809,1,8,8,0,,v9_probable
d0EE1HuZSEU,A,,0,0,0,1,6459,1,13,15,0,,v9_probable
D6rG9eZ5Qus,A,,0,0,0,0,0,0,0,0,0,,v9_probable
D77FSUkPJ3o,A,,0,0,0,0,0,0,0,0,0,,v9_probable
D9qTotVJYss,A,,0,0,0,0,0,0,0,0,0,,v9_probable
DAJZAygxDZA,A,,0,0,0,0,0,0,0,0,0,,v9_probable
DBmmQDlIXWM,A,,0,0,0,1,6036,1,10,12,0,,v9_probable
DkPPwq517aE,A,,0,0,0,0,0,0,0,0,0,,v9_probable
DnTQ3matqts,A,,0,0,0,0,0,0,0,0,0,,v9_probable
Dp3YAxFp-YM,A,,0,0,0,0,0,0,0,0,0,,v9_probable
DrkaU99l9S8,A,,0,0,0,0,0,0,0,0,0,,v9_probable
Dxq_U1TNx1s,A,,0,0,0,0,0,0,0,0,0,,v9_probable
E68ufJOduio,A,,0,0,0,0,0,0,0,0,0,,v9_probable
E8BGpIxzYc4,A,,0,0,0,0,0,0,0,0,0,,v9_probable
E8wYXtvGy5k,A,,0,0,0,0,0,0,0,0,0,,v9_probable
ec6j-MaOSUc,A,,0,0,0,1,5010,1,10,9,0,,v9_probable
eEfWd4EgH_s,A,,0,0,0,1,4936,1,10,9,0,,v9_probable
EiljRL0977M,A,,0,0,0,0,0,0,0,0,0,,v9_probable
ekXdohpAy5U,A,,0,0,0,1,3894,1,6,5,0,,v9_probable
Eoq7E6jMtBs,A,,0,0,0,0,0,0,0,0,0,,v9_probable
ErXwuwF2mRU,A,,0,0,0,0,0,0,0,0,0,,v9_probable
F4KDOGNpSoI,A,,0,0,0,0,0,0,0,0,0,,v9_probable
f5EJBUfGZtw,A,,0,0,0,1,5474,1,10,10,0,,v9_probable
Fd2c7NDYfpo,A,,0,0,0,0,0,0,0,0,0,,v9_probable
Felt-hOU6kU,A,,0,0,0,0,0,0,0,0,0,,v9_probable
FfSNnH2bbNc,B,v9,0,0,0,1,4523,1,8,9,0,,v9_confirmado
FftalZUxyiM,A,,0,0,0,0,0,0,0,0,0,,v9_probable
